id,scenario,variables,model,model_version,response_timestamp,prompt,response,recommendations,risk_profile
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|27,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 3,500 CHF
Ethereum: 3,000 CHF
Solana: 1,500 CHF
Polygon: 1,000 CHF
Chainlink: 1,000 CHF","[ProductRecommendation(product='Bitcoin', amount=3.0), ProductRecommendation(product='Ethereum', amount=3.0), ProductRecommendation(product='Solana', amount=1.0), ProductRecommendation(product='Polygon', amount=1.0), ProductRecommendation(product='Chainlink', amount=1.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|34,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6,000 CHF
Ethereum: 5,000 CHF
Solana: 3,000 CHF
Polygon: 2,500 CHF
Chainlink: 2,000 CHF
Uniswap: 1,500 CHF","[ProductRecommendation(product='Bitcoin', amount=6.0), ProductRecommendation(product='Ethereum', amount=5.0), ProductRecommendation(product='Solana', amount=3.0), ProductRecommendation(product='Polygon', amount=2.0), ProductRecommendation(product='Chainlink', amount=2.0), ProductRecommendation(product='Uniswap', amount=1.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|35,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 8,000 CHF
Ethereum: 6,000 CHF
Solana: 3,000 CHF
Polkadot: 2,000 CHF
Chainlink: 1,000 CHF","[ProductRecommendation(product='Bitcoin', amount=8.0), ProductRecommendation(product='Ethereum', amount=6.0), ProductRecommendation(product='Solana', amount=3.0), ProductRecommendation(product='Polkadot', amount=2.0), ProductRecommendation(product='Chainlink', amount=1.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|45,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12000
Ethereum: 10000
Solana: 4000
Polkadot: 2000
Chainlink: 2000","[ProductRecommendation(product='Bitcoin', amount=12000.0), ProductRecommendation(product='Ethereum', amount=10000.0), ProductRecommendation(product='Solana', amount=4000.0), ProductRecommendation(product='Polkadot', amount=2000.0), ProductRecommendation(product='Chainlink', amount=2000.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|43,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 10,500 CHF
Ethereum: 7,500 CHF
Solana: 4,500 CHF
Polygon: 3,000 CHF
Arbitrum: 2,500 CHF
Optimism: 1,500 CHF
Uniswap: 500 CHF","[ProductRecommendation(product='Bitcoin', amount=10.0), ProductRecommendation(product='Ethereum', amount=7.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polygon', amount=3.0), ProductRecommendation(product='Arbitrum', amount=2.0), ProductRecommendation(product='Optimism', amount=1.0), ProductRecommendation(product='Uniswap', amount=500.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|36,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 8,000 CHF
Ethereum: 7,000 CHF
Solana: 3,000 CHF
Polkadot: 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=8.0), ProductRecommendation(product='Ethereum', amount=7.0), ProductRecommendation(product='Solana', amount=3.0), ProductRecommendation(product='Polkadot', amount=2.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|52,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 40'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12000
Ethereum: 8000
Solana: 6000
Polygon: 5000
Chainlink: 4000
Uniswap: 3000
Avalanche: 2000","[ProductRecommendation(product='Bitcoin', amount=12000.0), ProductRecommendation(product='Ethereum', amount=8000.0), ProductRecommendation(product='Solana', amount=6000.0), ProductRecommendation(product='Polygon', amount=5000.0), ProductRecommendation(product='Chainlink', amount=4000.0), ProductRecommendation(product='Uniswap', amount=3000.0), ProductRecommendation(product='Avalanche', amount=2000.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|44,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 10,000 CHF
Ethereum: 8,000 CHF
Solana: 4,000 CHF
Polkadot: 3,000 CHF
Chainlink: 2,000 CHF
Arbitrum: 1,500 CHF
Optimism: 1,500 CHF","[ProductRecommendation(product='Bitcoin', amount=10.0), ProductRecommendation(product='Ethereum', amount=8.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polkadot', amount=3.0), ProductRecommendation(product='Chainlink', amount=2.0), ProductRecommendation(product='Arbitrum', amount=1.0), ProductRecommendation(product='Optimism', amount=1.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|53,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 40'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12000
Ethereum: 10000
Solana: 6000
Polkadot: 4000
Chainlink: 3000
Avalanche: 2000
Polygon: 2000
Optimism: 1000","[ProductRecommendation(product='Bitcoin', amount=12000.0), ProductRecommendation(product='Ethereum', amount=10000.0), ProductRecommendation(product='Solana', amount=6000.0), ProductRecommendation(product='Polkadot', amount=4000.0), ProductRecommendation(product='Chainlink', amount=3000.0), ProductRecommendation(product='Avalanche', amount=2000.0), ProductRecommendation(product='Polygon', amount=2000.0), ProductRecommendation(product='Optimism', amount=1000.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|54,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 40'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 6,000 CHF
Polkadot: 4,000 CHF
Chainlink: 3,000 CHF
XRP: 2,000 CHF
Cardano: 2,000 CHF
Polygon: 1,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=6.0), ProductRecommendation(product='Polkadot', amount=4.0), ProductRecommendation(product='Chainlink', amount=3.0), ProductRecommendation(product='XRP', amount=2.0), ProductRecommendation(product='Cardano', amount=2.0), ProductRecommendation(product='Polygon', amount=1.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|61,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 50'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 15000
Ethereum: 12000
Solana: 8000
Polkadot: 6000
Cardano: 5000
Chainlink: 4000","[ProductRecommendation(product='Bitcoin', amount=15000.0), ProductRecommendation(product='Ethereum', amount=12000.0), ProductRecommendation(product='Solana', amount=8000.0), ProductRecommendation(product='Polkadot', amount=6000.0), ProductRecommendation(product='Cardano', amount=5000.0), ProductRecommendation(product='Chainlink', amount=4000.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|62,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 50'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 15000
Ethereum: 12000
Solana: 8000
Polkadot: 7000
Chainlink: 5000
Avalanche: 3000","[ProductRecommendation(product='Bitcoin', amount=15000.0), ProductRecommendation(product='Ethereum', amount=12000.0), ProductRecommendation(product='Solana', amount=8000.0), ProductRecommendation(product='Polkadot', amount=7000.0), ProductRecommendation(product='Chainlink', amount=5000.0), ProductRecommendation(product='Avalanche', amount=3000.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|63,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 50'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 15,000 CHF
Ethereum: 15,000 CHF
Solana: 8,000 CHF
Polygon: 5,000 CHF
Chainlink: 4,000 CHF
Avalanche: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=15.0), ProductRecommendation(product='Ethereum', amount=15.0), ProductRecommendation(product='Solana', amount=8.0), ProductRecommendation(product='Polygon', amount=5.0), ProductRecommendation(product='Chainlink', amount=4.0), ProductRecommendation(product='Avalanche', amount=3.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|70,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40000
Ethereum: 30000
Solana: 15000
Polkadot: 10000
Chainlink: 5000","[ProductRecommendation(product='Bitcoin', amount=40000.0), ProductRecommendation(product='Ethereum', amount=30000.0), ProductRecommendation(product='Solana', amount=15000.0), ProductRecommendation(product='Polkadot', amount=10000.0), ProductRecommendation(product='Chainlink', amount=5000.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|71,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 35,000 CHF
Ethereum: 30,000 CHF
Solana: 15,000 CHF
Polygon: 10,000 CHF
Chainlink: 10,000 CHF","[ProductRecommendation(product='Bitcoin', amount=35.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polygon', amount=10.0), ProductRecommendation(product='Chainlink', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|72,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 35,000 CHF
Ethereum: 30,000 CHF
Solana: 15,000 CHF
Polkadot: 10,000 CHF
Chainlink: 10,000 CHF","[ProductRecommendation(product='Bitcoin', amount=35.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polkadot', amount=10.0), ProductRecommendation(product='Chainlink', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|25,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 20 CHF
Polkadot: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Solana', amount=20.0), ProductRecommendation(product='Polkadot', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|26,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Polkadot: 20 CHF
Cardano: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Polkadot', amount=20.0), ProductRecommendation(product='Cardano', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|27,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 35 CHF
Chainlink: 15 CHF
Polkadot: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=35.0), ProductRecommendation(product='Chainlink', amount=15.0), ProductRecommendation(product='Polkadot', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|29,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 15 CHF
Polygon: 10 CHF
Chainlink: 5 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polygon', amount=10.0), ProductRecommendation(product='Chainlink', amount=5.0)]",risk-seeking
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|28,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 30 CHF
Ethereum: 25 CHF
Solana: 20 CHF
Polygon: 15 CHF
Optimism: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=30.0), ProductRecommendation(product='Ethereum', amount=25.0), ProductRecommendation(product='Solana', amount=20.0), ProductRecommendation(product='Polygon', amount=15.0), ProductRecommendation(product='Optimism', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|30,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 35 CHF
Solana: 15 CHF
Polkadot: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=35.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polkadot', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|31,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Polkadot: 15 CHF
Chainlink: 10 CHF
Solana: 5 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Polkadot', amount=15.0), ProductRecommendation(product='Chainlink', amount=10.0), ProductRecommendation(product='Solana', amount=5.0)]",risk-seeking
