id,scenario,variables,model,model_version,response_timestamp,prompt,response,recommendations,budget,risk_profile
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|43,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 10,500 CHF
Ethereum: 7,500 CHF
Solana: 4,500 CHF
Polygon: 3,000 CHF
Arbitrum: 2,500 CHF
Optimism: 1,500 CHF
Uniswap: 500 CHF","[ProductRecommendation(product='Bitcoin', amount=10.0), ProductRecommendation(product='Ethereum', amount=7.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polygon', amount=3.0), ProductRecommendation(product='Arbitrum', amount=2.0), ProductRecommendation(product='Optimism', amount=1.0), ProductRecommendation(product='Uniswap', amount=500.0)]",30'000 chf,risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|44,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 10,000 CHF
Ethereum: 8,000 CHF
Solana: 4,000 CHF
Polkadot: 3,000 CHF
Chainlink: 2,000 CHF
Arbitrum: 1,500 CHF
Optimism: 1,500 CHF","[ProductRecommendation(product='Bitcoin', amount=10.0), ProductRecommendation(product='Ethereum', amount=8.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polkadot', amount=3.0), ProductRecommendation(product='Chainlink', amount=2.0), ProductRecommendation(product='Arbitrum', amount=1.0), ProductRecommendation(product='Optimism', amount=1.0)]",30'000 chf,risk-seeking
tokens-general-budget_term|claude-haiku-4-5-20251001|20260824_1054|15,tokens,budget_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 4,000 CHF
Polkadot: 2,000 CHF
Cardano: 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polkadot', amount=2.0), ProductRecommendation(product='Cardano', amount=2.0)]",30'000 chf,unknown
tokens-general-budget_term|claude-haiku-4-5-20251001|20260824_1054|14,tokens,budget_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12'000 CHF
Ethereum: 10'000 CHF
Solana: 5'000 CHF
Polkadot: 3'000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,unknown
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|145,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|149,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|148,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|150,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|151,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|152,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polkadot: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|153,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polkadot: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|156,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polkadot: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|155,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|157,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polkadot: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|158,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12000
Ethereum: 10000
StABlecoin (USDC/Tether): 8000","[ProductRecommendation(product='Bitcoin', amount=12000.0), ProductRecommendation(product='Ethereum', amount=10000.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|160,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000
Ethereum: 10,000
Solana: 5,000
Polkadot: 3,000","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|159,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|161,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 4,000 CHF
Polkadot: 2,500 CHF
Chainlink: 1,500 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polkadot', amount=2.0), ProductRecommendation(product='Chainlink', amount=1.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|162,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|163,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12000 CHF
Ethereum: 10000 CHF
StABlecoin (USDC/Tether): 5000 CHF
Polkadot: 2000 CHF
Chainlink: 1000 CHF","[ProductRecommendation(product='Bitcoin', amount=12000.0), ProductRecommendation(product='Ethereum', amount=10000.0), ProductRecommendation(product='Polkadot', amount=2000.0), ProductRecommendation(product='Chainlink', amount=1000.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|164,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 4,000 CHF
Polkadot: 2,000 CHF
Chainlink: 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polkadot', amount=2.0), ProductRecommendation(product='Chainlink', amount=2.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|165,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is three to ten years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 4,000 CHF
Polkadot: 2,000 CHF
Chainlink: 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polkadot', amount=2.0), ProductRecommendation(product='Chainlink', amount=2.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|167,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is three to ten years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Polkadot: 5,000 CHF
Cardano: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Polkadot', amount=5.0), ProductRecommendation(product='Cardano', amount=3.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|166,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is three to ten years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","# Crypto Investment REcommendations

Bitcoin: 12'000 CHF
Ethereum: 10'000 CHF
StABlecoin (USDC/Tether): 8'000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|168,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is three to ten years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 4,000 CHF
Polkadot: 2,000 CHF
Chainlink: 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polkadot', amount=2.0), ProductRecommendation(product='Chainlink', amount=2.0)]",30'000 chf,risk-neutral
